date,platform,format,topic,reach,likes,saves,shares,link_clicks
2026-07-01,Instagram,Photo,Recipe tip,628,28,21,3,7
2026-07-02,Facebook,Photo,Student bake,2420,206,68,14,9
2026-07-04,Instagram,Carousel,Course promo,788,53,5,3,4
2026-07-05,TikTok,Video,Recipe tip,4208,284,82,20,49
2026-07-07,Facebook,Video,Chef intro,2353,151,56,12,11
2026-07-08,TikTok,Video,Before/after,2890,161,31,22,29
2026-07-10,Instagram,Reel,Student bake,6404,495,178,61,48
2026-07-11,TikTok,Video,Before/after,7563,457,87,46,35
2026-07-13,Instagram,Reel,Chef intro,2834,235,19,20,16
2026-07-14,Instagram,Photo,Before/after,1266,92,6,4,4
2026-07-16,Instagram,Reel,Student bake,4590,384,102,39,48
2026-07-17,Facebook,Photo,Before/after,3185,152,87,20,29
2026-07-19,Facebook,Event,Behind the scenes,1727,139,49,17,20
2026-07-20,Instagram,Photo,Behind the scenes,1625,108,43,5,6
2026-07-22,Instagram,Carousel,Behind the scenes,655,47,11,4,2
2026-07-23,TikTok,Video,Before/after,7275,527,83,26,69
2026-07-25,Instagram,Carousel,Student bake,2170,139,10,17,21
2026-07-26,Facebook,Event,Chef intro,1478,67,32,13,6
2026-07-28,Facebook,Event,Before/after,2972,219,27,10,17
2026-07-29,Facebook,Photo,Before/after,2232,98,32,18,24
2026-07-31,Facebook,Video,Recipe tip,2300,197,27,13,17
2026-08-01,Instagram,Carousel,Chef intro,1218,86,22,9,5
2026-08-03,Facebook,Event,Recipe tip,969,52,20,8,4
2026-08-04,Instagram,Reel,Student bake,4129,168,45,9,47
2026-08-06,Facebook,Video,Behind the scenes,3126,239,70,10,26
2026-08-07,Instagram,Carousel,Before/after,1480,125,19,13,11
2026-08-09,Instagram,Photo,Course promo,319,14,3,2,7
2026-08-10,Facebook,Video,Recipe tip,3811,308,154,9,44
2026-08-12,Instagram,Reel,Behind the scenes,3096,252,32,25,15
2026-08-13,Instagram,Reel,Before/after,5551,404,46,15,64
2026-08-15,Instagram,Carousel,Chef intro,1175,82,29,8,10
2026-08-16,TikTok,Video,Course promo,1840,143,33,12,28
2026-08-18,Instagram,Carousel,Before/after,2479,218,66,8,18
2026-08-19,Facebook,Photo,Behind the scenes,1302,116,30,5,13
2026-08-21,Facebook,Event,Before/after,1525,82,30,4,5
2026-08-22,Facebook,Video,Recipe tip,1772,76,31,16,8
2026-08-24,Facebook,Photo,Behind the scenes,1198,54,9,3,10
2026-08-25,TikTok,Video,Behind the scenes,4179,275,80,39,43
2026-08-27,Facebook,Video,Recipe tip,1913,89,64,7,16
2026-08-28,TikTok,Video,Student bake,2670,223,35,10,27
2026-08-30,TikTok,Video,Student bake,7104,566,136,65,76
2026-08-31,Instagram,Carousel,Before/after,2473,130,51,18,5
2026-09-02,Instagram,Photo,Chef intro,1184,58,10,2,3
2026-09-03,Facebook,Event,Chef intro,741,38,22,4,2
2026-09-05,Facebook,Event,Behind the scenes,792,56,17,2,2
2026-09-06,Instagram,Photo,Before/after,1783,78,16,17,6
2026-09-08,Facebook,Photo,Behind the scenes,809,54,8,5,5
2026-09-09,TikTok,Video,Course promo,1326,53,20,13,20
2026-09-11,Facebook,Photo,Student bake,1510,125,40,12,9
2026-09-12,TikTok,Video,Student bake,6548,315,131,44,74
2026-09-14,Instagram,Photo,Student bake,1892,163,23,8,22
2026-09-15,Facebook,Event,Recipe tip,937,65,19,4,3
2026-09-17,Facebook,Event,Before/after,2699,152,50,7,6
2026-09-18,TikTok,Video,Before/after,6315,548,123,20,72
2026-09-20,Instagram,Photo,Behind the scenes,1210,74,25,5,8
2026-09-21,Facebook,Video,Recipe tip,2649,145,63,10,17
2026-09-23,Facebook,Event,Chef intro,666,58,4,5,3
2026-09-24,Facebook,Event,Before/after,3212,153,92,13,14
2026-09-26,Instagram,Carousel,Recipe tip,905,45,17,3,7
2026-09-27,Instagram,Photo,Recipe tip,887,75,17,6,6
