course_code,course_title,sessions,ingredient_cost_per_learner_per_session_sgd,consumables_per_learner_sgd
BAK-101,Artisan Sourdough Bread Baking,4,12.6,4.48
BAK-102,French Pastry & Viennoiserie,8,11.01,5.77
BAK-103,Wedding Cake Design & Decoration,6,14.86,3.56
BAK-104,Macaron Masterclass,2,12.73,4.42
BAK-105,Chocolate & Confectionery Making,4,32.78,6.2
BAK-106,Cupcake & Cake Pops Workshop,1,16.63,7.28
BAK-107,Bread Making Fundamentals,3,11.96,3.05
BAK-108,Cookie & Biscuit Baking,1,10.94,5.03
BAK-109,Pie & Tart Specialist,3,12.82,4.37
BAK-110,Korean & Asian Bakery,4,10.96,6.85
CUL-201,Italian Cuisine Mastery,6,27.35,3.78
CUL-202,Thai Street Food Cooking,3,16.18,7.94
CUL-203,Japanese Sushi & Sashimi,4,37.48,5.61
CUL-204,French Culinary Foundations,8,24.41,4.15
CUL-205,Chinese Wok Cooking,3,24.07,3.86
CUL-206,Indian Curry & Spices,3,19.57,3.68
CUL-207,Healthy Meal Prep & Nutrition,2,24.59,4.61
CUL-208,Vegetarian & Vegan Cuisine,3,15.94,3.32
CUL-209,Grilling & BBQ Mastery,2,21.77,6.18
CUL-210,Knife Skills & Kitchen Essentials,1,18.9,3.28
