code,title,cat,level,weeks,fee,campus,img,when,summary,learn,allergens,bring,intakes,class_size
BAK-101,Artisan Sourdough Bread Baking,Bakery,Beginner,4,680,Orchard Road,1589367920969-ab8e050bbb04,Saturday 9:30am–12:30pm,"Build and keep a starter, then bake open-crumb country loaves, baguettes and a seeded rye at home.","Feed and maintain a wild-yeast starter; Mix, stretch-and-fold and shape by hand; Read proof by feel and by the poke test; Score and bake in a home oven with a Dutch oven","wheat (gluten), rye, sesame",A 1-litre jar for your starter and a container for your loaves,2026-10-10; 2026-12-05,12
BAK-102,French Pastry & Viennoiserie,Bakery,Intermediate,8,1480,Orchard Road,1509440159596-0249088772ff,Sunday 9:30am–1:30pm,"Laminated dough from scratch: croissants, pain au chocolat, kouign-amann and Danish pastries.","Make and lock in a butter block; Laminate with three single folds; Proof and bake croissants with an open honeycomb; Shape pain au chocolat, kouign-amann and Danish","wheat (gluten), dairy, eggs",A container; aprons are provided,2026-10-11; 2027-01-03,12
BAK-103,Wedding Cake Design & Decoration,Bakery,Advanced,6,1280,Orchard Road,1535141192574-5d4897c12636,Saturday 2:00pm–6:00pm,"Stacked, dowelled and decorated tiered cakes, including fondant covering and sugar flowers.","Level, fill and crumb-coat stable layers; Dowel and stack a three-tier cake safely; Cover with fondant with sharp edges; Model gumpaste roses and piped lace","wheat (gluten), dairy, eggs, may contain nuts",A cake carrier for your final tier. Prerequisite: BAK-106 or equivalent experience,2026-10-10; 2026-12-19,12
BAK-104,Macaron Masterclass,Bakery,Intermediate,2,420,Orchard Road,1558326567-98ae2405596b,Wednesday 7:00pm–10:00pm,French and Italian meringue macarons with ganache and buttercream fillings.,"Age egg whites and sift almond flour correctly; Macaronage to the right lava-like flow; Pipe even shells and control feet; Fill, mature and store macarons","TREE NUTS (almond), eggs, dairy — not suitable for nut allergies",A container for 24 macarons,2026-10-07; 2026-12-02,12
BAK-105,Chocolate & Confectionery Making,Bakery,Intermediate,4,760,Orchard Road,1511381939415-e44015466834,Thursday 7:00pm–10:00pm,"Tempering, moulded bonbons, pralines, caramels and hand-rolled truffles.","Temper dark, milk and white chocolate by seeding; Cast shells and fill moulded bonbons; Cook caramel and nougat to temperature; Hand-roll and enrobe truffles","dairy, soy, may contain nuts",A box for your chocolates,2026-10-08; 2026-12-03,12
BAK-106,Cupcake & Cake Pops Workshop,Bakery,Beginner,1,220,Orchard Road,1486427944299-d1955d23e34d,Saturday 2:00pm–5:00pm,"A one-session workshop: bake, frost and decorate cupcakes and cake pops.","Bake a light vanilla and chocolate sponge; Pipe buttercream swirls and rosettes; Roll, dip and decorate cake pops","wheat (gluten), dairy, eggs",Nothing — boxes are provided. Suitable for ages 12+ with a guardian,2026-10-10; 2026-12-05,12
BAK-107,Bread Making Fundamentals,Bakery,Beginner,3,480,Orchard Road,1549931319-a545dcf3bc73,Tuesday 7:00pm–10:00pm,"Yeasted breads for the home baker: sandwich loaf, focaccia, soft milk buns and pizza dough.","Measure by weight and understand hydration; Knead by hand and check the windowpane; Shape a tin loaf, rolls and focaccia; Bake with steam in a home oven","wheat (gluten), dairy",A container,2026-10-06; 2026-12-01,12
BAK-108,Cookie & Biscuit Baking,Bakery,Beginner,1,180,Orchard Road,1499636136210-6f4ee915583e,Sunday 2:00pm–5:00pm,"A one-session workshop: chewy, crisp and iced cookies, shortbread and biscotti.",Control spread with butter temperature; Make shortbread and twice-baked biscotti; Flood and pipe royal icing,"wheat (gluten), dairy, eggs, may contain nuts",Nothing — boxes are provided. Suitable for ages 12+ with a guardian,2026-10-11; 2026-12-06,12
BAK-109,Pie & Tart Specialist,Bakery,Intermediate,3,560,Orchard Road,1535920527002-b35e96722eb9,Friday 7:00pm–10:00pm,"Flaky and sweet shortcrust, blind baking, custards, lemon tart and a lattice fruit pie.",Make flaky and pâte sucrée pastry; Line and blind-bake without shrinkage; Cook crème pâtissière and lemon curd; Weave a lattice top,"wheat (gluten), dairy, eggs, may contain nuts",A tart carrier or container,2026-10-09; 2026-12-04,12
BAK-110,Korean & Asian Bakery,Bakery,Intermediate,4,720,Orchard Road,1558961363-fa8fdf82db35,Saturday 9:30am–12:30pm,"Tangzhong milk bread, salt bread, cream cheese garlic bread and Hong Kong egg tarts.",Make tangzhong and water-roux doughs; Shape salt bread and filled buns; Bake Hong Kong-style egg tarts; Make a cream cheese garlic filling,"wheat (gluten), dairy, eggs",A container,2026-10-10; 2026-12-05,12
CUL-201,Italian Cuisine Mastery,Cooking,Intermediate,6,1180,Bukit Timah,1551183053-bf91a1d81141,Wednesday 7:00pm–10:00pm,"Fresh pasta, risotto, braises and regional Italian classics cooked from scratch.",Roll fresh egg pasta and filled shapes; Cook risotto to all'onda; Braise osso buco and make ragù; Plate a four-course Italian menu,"wheat (gluten), eggs, dairy, celery",Containers for tasting portions,2026-10-07; 2026-12-16,12
